date_of_spill_edit,operator_edit,lease_facility_name,county_edit,type_operation,source,probable_cause_edit,release_crude_oil_edit,release_prod_water_edit,recovery_crude_oil_edit,recovery_prod_water_edit,spill_on_water_edit
2019-03-07,"12013 OIL TEXAS, LLC",MOODY RANCH,Milam,PRODUCTION,TANK BATTERY,MECHANICAL FAILURE,840,42,840,0,
2018-05-10,"1776 ENERGY OPERATOR, LLC",PETER,La Salle,PRODUCTION,WELL STUFFING BOX,WELL FRAC'D INTO,3360,42,0,0,
2018-09-16,"1776 ENERGY OPERATOR, LLC",S. DUDERSTADT,Gonzales,PRODUCTION,HEATER TREATER,MECHANICAL FAILURE,84,42,0,0,
2015-07-26,1776 ENERGY OPERATORS,Martindale,La Salle,Production,Separator,MECHANICAL FAILURE,21,42,0,0,
2015-09-01,1776 ENERGY OPERATORS,"Smith, Joey",La Salle,Production,Tank Battery,MECHANICAL FAILURE,630,42,0,0,
2015-09-11,1776 ENERGY OPERATORS,Flores,La Salle,Production,Tank Battery,THEFT / VANDALISM,5460,42,0,0,
2015-11-27,1776 ENERGY OPERATORS,Margaret Unit 3,Karnes,Production,Flowline,Overflow,21,42,21,0,
2016-01-11,1776 ENERGY OPERATORS,JOEY SMITH,La Salle,PRODUCTION,WELLHEAD,STUFFING BOX FAIL,84,42,42,0,
2016-03-18,1776 ENERGY OPERATORS,LIESMAN,Gonzales,PRODUCTION,TANK,MECHANICAL FAILURE,42,42,0,0,
2016-04-15,1776 ENERGY OPERATORS,BANDUCH,Karnes,PRODUCTION,HEATER TREATER,CORROSION,420,42,420,0,
2016-04-25,1776 ENERGY OPERATORS,"SMITH, JOEY",La Salle,PRODUCTION,TANK BATTERY,MECHANICAL FAILURE,84,42,0,0,
2016-06-21,1776 ENERGY OPERATORS,MOY,Wilson,PRODUCTION,WELLHEAD,MECHANICAL FAILURE,10.5,42,0,0,
2016-08-01,1776 ENERGY OPERATORS,BERRY,Karnes,PRODUCTION,STUFFING BOX,MECHANICAL FAILURE,252,42,0,0,
2016-08-23,1776 ENERGY OPERATORS,MOY,Wilson,PRODUCTION,WELL CELLAR,WEATHER,42,42,0,0,
2016-11-29,1776 ENERGY OPERATORS,DRAGON,Karnes,PRODUCTION,TANK BATTERY,MECHANICAL FAILURE,336,42,0,0,
2017-12-21,1776 ENERGY OPERATORS,DRAGON,Karnes,PRODUCTION,HEATER TREATER,MECHANICAL FAILURE,2100,42,,0,
2021-08-12,1776 ENERGY OPERATORS,Margaret,Karnes,Production,Tank Battery,Third Party,84,966,0,0,NO
2021-08-24,1776 ENERGY OPERATORS,Mary,Karnes,Production,Tank Battery,CORROSION,42,84,42,84,NO
2016-08-01,"1836 RESOURCES, LLC",HOFFMAN,Gonzales,DRILLING,WELL,MECHANICAL FAILURE,126,42,0,0,
2022-11-29,1836 WATER VENTURES LLC,Desperado State,Reeves,Injection/Disposal,Tank Battery,MECHANICAL FAILURE,0,21000,0,0,NO
2015-01-29,"2014 GS HOLDINGS OPERATING, LLC.",Bender,Milam,Production,Tank Battery,THEFT / VANDALISM,5460,42,0,0,
2017-06-20,4-SIGHT OPERATING,"Miller, J. T. -B-  /  Well #18",Upshur,Production,well,MECHANICAL FAILURE,168,840,,,
2015-07-05,4P ENERGY TEXAS,Harris #3HB,Wheeler,production,flowline,CORROSION,,2520,,1680,NO
2016-12-23,4P ENERGY TEXAS,Elmore 21,Wheeler,production,tank battery,CORROSION,924,1680,0,336,NO
2017-01-31,4P ENERGY TEXAS,Atherton 69,Wheeler,production,tank battery,MECHANICAL FAILURE,756,3780,756,3780,NO
2017-04-24,4P ENERGY TEXAS,Miller 2,Wheeler,production,tank battery,CORROSION,,1050,,0,NO
2018-04-01,4P ENERGY TEXAS,Lee-Hefley,Wheeler,production,tank battery,MECHANICAL FAILURE,840,504,798,420,NO
2018-08-19,4P ENERGY TEXAS,Childresn's Home 2,Wheeler,injection/disposal,tank battery,WEATHER,,23520,,0,NO
2018-12-18,4P ENERGY TEXAS,Sanders,Hansford,other,well,HUMAN ERROR,,249900,,243600,NO
2019-07-15,4P ENERGY TEXAS,Charlotte 136,Hemphill,production,tank battery,CORROSION,924,420,462,378,NO
2019-09-24,4P ENERGY TEXAS,Basin Royalty,Wheeler,Production,Flowline,MECHANICAL FAILURE,,63000,,63000,NO
2019-09-28,4P ENERGY TEXAS,Reed 31,Wheeler,Production,Tank Battery,MECHANICAL FAILURE,5040,6720,840,840,NO
2020-08-31,4P ENERGY TEXAS,Morrison,Wheeler,Production,Tank Battery,WEATHER,12180,14112,0,0,NO
2020-03-26,"5L PROPERTIES, INC.",Prater,Jones,Production,Tank Battery,CORROSION,126,6300,,,YES
2015-08-06,7S OIL & GAS,"PVOC ""Luke""",Pecos,production,well,CORROSION,336,84,189,0,NO
2016-12-26,7S OIL & GAS,"McKnight, M.B. -A-",Crane,injection/disposal,tank battery,CORROSION,0,2100,0,0,NO
2014-08-24,A.C.T. OPERATING COMPANY,"Drennan ""A""",Cochran,commercial disposal,tank battery,CORROSION,0,29400,0,8400,NO
2018-05-31,"AB RESERVE, LLC",EARNESTINE,Milam,PRODUCTION,TANK,LIVESTOCK,,42,210,0,
2019-06-24,"ABACO OPERATING, LLC",Ball,Kenedy,injection/disposal,other,WEATHER,12600,12600,0,0,NO
2016-08-31,ABRAXAS PETROLEUM,Caprito 98,Ward,production,tank battery,WEATHER,0,2772,0,0,NO
2015-07-07,"ACCESS MLP OPERATING, L.L.C.","8 5/8"" Gas Gather Line",La Salle,Pipeline,Pipeline,Hole,0,42,0,0,
2014-07-15,"ACME ENERGY SERVICES, INC.",Theadore Wells SWD,Martin,injection/disposal,pump,MECHANICAL FAILURE,0,840,0,0,NO
2014-07-31,"ACME ENERGY SERVICES, INC.",Yater SWD,Martin,commercial disposal,tank battery,WEATHER,2100,8400,1680,6720,NO
2014-08-07,"ACME ENERGY SERVICES, INC.",Tarzan SWD,Martin,commercial disposal,pump,MECHANICAL FAILURE,0,2772,0,2100,NO
2014-11-16,"ACME ENERGY SERVICES, INC.",Theadore Wells SWD,Martin,injection/disposal,tank battery,MECHANICAL FAILURE,42,4578,42,4158,NO
2014-11-19,"ACME ENERGY SERVICES, INC.",Barrow SWD,Midland,commercial disposal,tank battery,MECHANICAL FAILURE,0,13230,0,12600,NO
2015-02-04,"ACME ENERGY SERVICES, INC.",Holcomb,Martin,commercial disposal,tank battery,MECHANICAL FAILURE,210,17640,210,16800,NO
2015-03-14,"ACME ENERGY SERVICES, INC.",Flower Grove SWD,Martin,commercial disposal,tank battery,HUMAN ERROR,0,48300,0,47040,NO
2015-03-20,"ACME ENERGY SERVICES, INC.",Salt Lake SWD,Midland,commercial disposal,tank battery,WEATHER,126,5040,84,4200,NO
2015-12-09,ACOCK/ANAQUA OPERATING,"Henry, J.B.",McMullen,Production,Pump,Pump Failure,420,42,0,0,
2018-09-18,ACOCK/ANAQUA OPERATING,"SCANIO, M",Refugio,PRODUCTION,TANK,MECHANICAL FAILURE,8400,42,,0,
2021-08-02,ACOCK/ANAQUA OPERATING,"Scanio, M",Refugio,Injection/Disposal,Flowline,CORROSION,0,3360,0,2310,NO
2018-05-21,Advance Hydrocarbon Corp,"Bell, Harry A. Unit",Grimes,Injection/Disposal,Flowline,CORROSION,,1050,,,YES
2018-08-27,Advance Hydrocarbon Corporation,"Bell, Harry A. -Unit",Grimes,Injection/Disposal,Flowline,Other,,1050,,,no
2013-09-07,AGHORN OPERATING,Gist -C-,Ector,injection/disposal,tank battery,CORROSION,84,798,84,798,NO
2015-08-23,AGHORN OPERATING,Foster -D-,Ector,injection/disposal,flowline,CORROSION,0,42,0,0,NO
2020-08-13,AGHORN OPERATING,McDaniel,Winkler,Production,Well,MECHANICAL FAILURE,1470,1176,0,0,NO
2020-08-31,AGHORN OPERATING,Moss,Ector,Production,Tank Battery,CORROSION,630,9450,630,9450,NO
2020-12-17,AGHORN OPERATING,"Moss, Paul '34'",Ector,Production,Tank Battery,MECHANICAL FAILURE,1827,1827,1617,1617,NO
2021-05-17,AGHORN OPERATING,University #11,Andrews,Production,Tank Battery,CORROSION,420,8400,420,8400,NO
2021-05-17,AGHORN OPERATING,East Harper Unit,Ector,Production,Tank Battery,WEATHER,504,29190,420,28980,NO
2021-05-17,AGHORN OPERATING,West Goldsmith Unit,Ector,Production,Tank Battery,WEATHER,2604,13020,2520,12600,NO
2021-05-19,AGHORN OPERATING,Moss,Ector,Production,Tank Battery,WEATHER,0,21000,0,7560,NO
2021-06-28,AGHORN OPERATING,Harper SWD,Ector,Production,Tank Battery,MECHANICAL FAILURE,0,15750,0,15540,NO
2021-09-15,AGHORN OPERATING,East Harper Unit,Ector,Tank Farm,Other,MECHANICAL FAILURE,0,11214,0,11088,NO
2017-09-03,Alamo Operating Company,Cook Family Trust,Colorado,Production,tank battery,WEATHER,,2898,0,,YES
2014-03-07,"ALEGRE ENERGY , INC","Shelton, Ben",Victoria,Production,pipeline,CORROSION,210,5250,210,5250,NO
2016-08-23,ALLTEX OPERATING COMPANY,"KNODEL, ANNIE, -D-",Guadalupe,PRODUCTION,FLOWLINE,MECHANICAL FAILURE,21,42,0,0,
2014-05-21,Alta Masa,,Galveston,Production,other,other,,14700,,210,no
2014-11-26,"AMAC ENERGY, L.L.C.",McKinney,Frio,Drilling,Tanks,Separator Backed Up,252,42,0,0,
2015-07-08,AMERICAN ENERGY,University 49,Reagan,injection/disposal,tank battery,MECHANICAL FAILURE,2520,6720,2520,6720,NO
2015-01-02,AMERICAN MIDSTREAM,Welhausen Compressor Station,Lavaca,Production,Tank,Overflow,0,42,0,0,
2016-04-20,AMERICAN MIDSTREAM,SHINER FACILITY,Lavaca,PRODUCTION,LACT UNIT,WEATHER,420,42,0,0,
2013-02-24,AMERICO ENERGY RESOURCES,Coleman Ranch Unit,Mitchell,injection/disposal,well,third party,0,23100,0,21000,NO
2014-08-13,AMERICO ENERGY RESOURCES,Coleman Ranch Unit,Mitchell,production,pump,MECHANICAL FAILURE,210,6300,210,6300,NO
2014-09-16,AMERICO ENERGY RESOURCES,Coleman Ranch Unit,Mitchell,injection/disposal,pump,MECHANICAL FAILURE,0,12600,0,0,NO
2014-09-16,AMERICO ENERGY RESOURCES,Coleman Ranch Unit,Mitchell,production,well,MECHANICAL FAILURE,42,1008,42,1008,NO
2015-05-30,AMERICO ENERGY RESOURCES,Coleman Ranch Unit,Mitchell,injection/disposal,tank battery,CORROSION,0,14700,0,12600,NO
2015-07-08,AMERICO ENERGY RESOURCES,Coleman Ranch Unit,Mitchell,production,flowline,third party,840,1680,0,0,NO
2015-07-15,AMERICO ENERGY RESOURCES,Triple-N/Grayburg/Cons.,Andrews,production,flowline,CORROSION,2100,2520,1680,1680,NO
2015-09-24,AMERICO ENERGY RESOURCES,Coleman Ranch Unit,Mitchell,injection/disposal,flowline,CORROSION,0,21000,0,420,NO
2017-01-18,AMERICO ENERGY RESOURCES,Coleman Ranch Unit,Mitchell,production,flowline,HUMAN ERROR,1680,2520,1680,2520,NO
2017-06-12,AMERICO ENERGY RESOURCES,Coleman Ranch Unit,Mitchell,injection/disposal,flowline,CORROSION,0,42000,0,0,YES
2017-09-14,AMERICO ENERGY RESOURCES,Coleman Ranch Unit,Mitchell,production,flowline,MECHANICAL FAILURE,42,21000,0,3360,NO
2017-10-20,AMERICO ENERGY RESOURCES,"MCFADDIN, A.M.",Victoria,PRODUCTION,SEPARATOR,DUMP VALVE FAILURE,2100,2100,0,0,NO
2021-10-06,AMERICO ENERGY RESOURCES,Coleman Ranch Unit,Mitchell,Injection/Disposal,Well,MECHANICAL FAILURE,0,46200,0,0,NO
2022-06-03,AMERICO ENERGY RESOURCES,"McFaddin, A.M.",Victoria,Injection/Disposal,Flowline,CORROSION,0,63000,0,42000,YES
2013-06-20,AMERRIL ENERGY LLC,"Webb, B.G.",Nueces,production,tank battery,MECHANICAL FAILURE,,3780,,0,NO
2017-01-07,"AMISTAD ENERGY SERVICES, LLC",Shannon Estate NE,Crockett,production,tank battery,WEATHER,1596,1638,1050,1050,NO
2018-01-18,AMPLIFY ENERGY,"HAYES, CLAUDE UNIT",Gregg,PRODUCTION,VALVE,WEATHER,546,336,,,
2018-02-07,AMPLIFY ENERGY,OXSHEER-SP-WIENER 'E' (SA),Panola,PRODUCTION,TANK BATTERY,FROZEN VALVE,,67200,,,YES
2018-05-26,AMPLIFY ENERGY,JoaQuin West Drip Facility,Shelby,Production,Tank Battery,HUMAN ERROR,42,840,,504,NO
2018-09-04,AMPLIFY ENERGY,CHEVALIER SWD,Shelby,INJECTION/DISPOSAL,INJECTION PUMP,PLUNGER PACKING FAILED,,5880,,,NO
2020-06-20,AMPLIFY ENERGY,"Price, J.C.",Shelby,Production,Flowline,CORROSION,0,126000,0,119700,YES
2022-04-01,AMPLIFY ENERGY,Yellow Dog System,Panola,Transportation,Pipeline,CORROSION,0,840,0,0,YES
2013-01-03,Anadarko (acq. by Occidental 2019),ZPZ 34-211 Unit,Ward,production,well,HUMAN ERROR,252,2520,210,2520,NO
2013-01-10,Anadarko (acq. by Occidental 2019),Colt 34-212,Ward,production,tank battery,HUMAN ERROR,7308,840,7182,798,NO
2013-01-19,Anadarko (acq. by Occidental 2019),Olson 34-191,Ward,production,well,HUMAN ERROR,1050,420,840,210,NO
2013-01-21,Anadarko (acq. by Occidental 2019),Raymore 1-46 Unit,Loving,production,flowline,CORROSION,6300,9450,2520,420,NO
2013-01-31,Anadarko (acq. by Occidental 2019),Anderson 32,Loving,production,tank battery,HUMAN ERROR,4074,1050,4032,1008,NO
2013-02-02,Anadarko (acq. by Occidental 2019),APC SWD,Loving,production,tank battery,HUMAN ERROR,210,1260,0,0,NO
2013-02-14,Anadarko (acq. by Occidental 2019),Murjo 34-223 Unit 1,Ward,production,well,MECHANICAL FAILURE,504,3990,420,3780,NO
2013-02-23,Anadarko (acq. by Occidental 2019),APC SWD,Loving,injection/disposal,tank battery,MECHANICAL FAILURE,0,12600,0,8610,NO
2013-03-07,Anadarko (acq. by Occidental 2019),Johnson Ranch 1-49,Loving,production,well,MECHANICAL FAILURE,378,3780,210,3360,NO
2013-03-11,Anadarko (acq. by Occidental 2019),SWD 55-1-31,Loving,injection/disposal,flowline,MECHANICAL FAILURE,0,65100,0,58800,NO
2013-03-12,Anadarko (acq. by Occidental 2019),Briscoe Cochina East CPF-B,Dimmit,Other,Tanker Truck,Overturned truck on lease,0,3780,0,420,NO
2013-03-18,Anadarko (acq. by Occidental 2019),East Vermejo 33-66,Ward,production,tank battery,MECHANICAL FAILURE,1260,2016,1050,1260,NO
2013-03-27,Anadarko (acq. by Occidental 2019),Ray Loden,Burleson,Production,plant,HUMAN ERROR,,3780,,,no
2013-03-31,Anadarko (acq. by Occidental 2019),Wilson 34-159,Ward,production,flowline,HUMAN ERROR,1260,672,1008,42,NO
2013-04-01,Anadarko (acq. by Occidental 2019),Whitehall Unit,Robertson,Plant,Plant,CORROSION,,1680,,,no
2013-04-24,Anadarko (acq. by Occidental 2019),Briscoe Catarina North CPF-C,Dimmit,Production,load line,HUMAN ERROR,0,5040,0,4620,NO
2013-04-25,Anadarko (acq. by Occidental 2019),Briscoe Chip East CPF-A,Dimmit,Production,Heater Treater,heater treater gasket failed,0,420,0,0,NO
2013-05-15,Anadarko (acq. by Occidental 2019),Murjo 34-223 Unit 1,Ward,production,flowline,THEFT / VANDALISM,1260,252,840,126,NO
2013-05-28,Anadarko (acq. by Occidental 2019),Sevengills 55-1-25,Loving,injection/disposal,flowline,CORROSION,252,3360,0,0,NO
2013-06-01,Anadarko (acq. by Occidental 2019),Monroe 34-180,Ward,injection/disposal,flowline,CORROSION,0,3864,0,3780,NO
2013-06-16,Anadarko (acq. by Occidental 2019),Covington 34-244,Ward,production,pump,MECHANICAL FAILURE,294,42,210,0,NO
2013-06-17,Anadarko (acq. by Occidental 2019),Hughes & Talbot 75-26,Loving,production,well,MECHANICAL FAILURE,420,4830,210,3150,NO
2013-06-19,Anadarko (acq. by Occidental 2019),Briscoe Carla CPF-C,Dimmit,Production,tanks,Leak,0,10920,0,10920,NO
2013-06-23,Anadarko (acq. by Occidental 2019),BRISCOE CATARINA NORTH 61H,Dimmit,Production,Well,Choke Body,0,15750,0,5040,NO
2013-07-03,Anadarko (acq. by Occidental 2019),Colt 34-212,Ward,production,well,MECHANICAL FAILURE,1344,1134,1260,1050,NO
2013-07-11,Anadarko (acq. by Occidental 2019),Rio Brazos Unit,Burleson,tank farm,gathering line,CORROSION,,336,,,no
2013-07-26,Anadarko (acq. by Occidental 2019),University 19-6,Loving,production,tank battery,MECHANICAL FAILURE,546,2940,441,2520,NO
2013-07-31,Anadarko (acq. by Occidental 2019),Blacktip Johnson 1-39,Ward,production,flowline,MECHANICAL FAILURE,420,252,294,126,NO
2013-08-05,Anadarko (acq. by Occidental 2019),Colt 34-212,Ward,production,well,MECHANICAL FAILURE,336,672,168,168,NO
2013-09-02,Anadarko (acq. by Occidental 2019),Gills 12,Loving,production,flowline,CORROSION,294,420,252,252,NO
2013-09-09,Anadarko (acq. by Occidental 2019),Blacktip University 19-26,Loving,production,tank battery,MECHANICAL FAILURE,0,19320,0,15960,NO
2013-09-16,Anadarko (acq. by Occidental 2019),Stumberg Ranch,Dimmit,Production,Wellhead,frac'ing communication,0,1470,0,0,NO
2013-09-17,Anadarko (acq. by Occidental 2019),BLACKTAIL UNIT,Robertson,production,tank battery,MECHANICAL FAILURE,588,84,567,,NO
2013-09-23,Anadarko (acq. by Occidental 2019),Chevron 34-179,Ward,production,pump,MECHANICAL FAILURE,441,2142,420,2100,NO
2013-10-10,Anadarko (acq. by Occidental 2019),Stumberg Ranch Unit A,Dimmit,Production,Hose,Hole in hose,0,2100,0,0,NO
2013-10-15,Anadarko (acq. by Occidental 2019),CGU 27-53HH,Panola,production,frac tank,unknown,798,378,588,252,NO
2013-10-26,Anadarko (acq. by Occidental 2019),Weyman 18,Loving,production,tank battery,MECHANICAL FAILURE,210,462,84,336,NO
2013-11-04,Anadarko (acq. by Occidental 2019),"Burgher ""E"" #17",Freestone,production,tank battery,WEATHER,,5880,,,YES
2013-11-04,Anadarko (acq. by Occidental 2019),"Thigpen ""A"" #10",Freestone,production,tank battery,,,2100,,,YES
2013-11-04,Anadarko (acq. by Occidental 2019),"Adams ""A"" #11",Freestone,production,tank battery,,,1596,,,YES
2013-11-19,Anadarko (acq. by Occidental 2019),Bullhead 55-1-31,Loving,injection/disposal,well,MECHANICAL FAILURE,0,3150,0,0,NO
2013-11-23,Anadarko (acq. by Occidental 2019),Monroe 34-195,Ward,production,well,HUMAN ERROR,966,2940,840,2730,NO
2013-11-26,Anadarko (acq. by Occidental 2019),Mooney 34-222,Ward,production,tank battery,MECHANICAL FAILURE,1050,1470,840,1260,NO
2013-11-27,Anadarko (acq. by Occidental 2019),East Vermejo 33-66,Ward,production,well,CORROSION,756,2016,630,1890,NO
2013-12-03,Anadarko (acq. by Occidental 2019),SWD 34-180,Ward,production,well,HUMAN ERROR,1596,2940,1470,2730,NO
2013-12-03,Anadarko (acq. by Occidental 2019),East Vermejo 33-66,Ward,production,tank battery,MECHANICAL FAILURE,1596,3570,1470,3360,NO
2013-12-07,Anadarko (acq. by Occidental 2019),Sevengills 54-1-31,Loving,production,tank battery,MECHANICAL FAILURE,84,7560,84,7560,NO
2013-12-14,Anadarko (acq. by Occidental 2019),Hill 34-171 Unit,Ward,production,tank battery,MECHANICAL FAILURE,504,4620,420,4536,NO
2013-12-30,Anadarko (acq. by Occidental 2019),C G U 27,Panola,Production,regulator gauge,MECHANICAL FAILURE,,840,,,
2014-01-24,Anadarko (acq. by Occidental 2019),Chevron 34-179,Ward,production,flowline,MECHANICAL FAILURE,210,420,168,0,NO
2014-01-25,Anadarko (acq. by Occidental 2019),Bowdle 48,Loving,injection/disposal,flowline,WEATHER,0,13440,0,13230,NO
2014-01-26,Anadarko (acq. by Occidental 2019),SWD 55-1-37,Loving,production,tank battery,MECHANICAL FAILURE,14574,15330,14574,14994,NO
2014-01-26,Anadarko (acq. by Occidental 2019),Anderson 2,Loving,production,tank battery,WEATHER,210,630,0,0,NO
2014-01-29,Anadarko (acq. by Occidental 2019),APC SWD,Loving,injection/disposal,tank battery,HUMAN ERROR,210,840,210,840,NO
2014-01-30,Anadarko (acq. by Occidental 2019),Raymore 1-46 Unit,Loving,production,tank battery,MECHANICAL FAILURE,252,882,252,882,NO
2014-01-31,Anadarko (acq. by Occidental 2019),APC 28-10,Loving,injection/disposal,tank battery,HUMAN ERROR,0,588,0,0,NO
2014-02-09,Anadarko (acq. by Occidental 2019),Miller State 152,Ward,injection/disposal,tank battery,HUMAN ERROR,0,15120,0,14700,NO
2014-02-26,Anadarko (acq. by Occidental 2019),Gills 7,Loving,injection/disposal,vehicle,third party,0,8400,0,0,NO
2014-03-02,Anadarko (acq. by Occidental 2019),Monroe 34-210,Ward,production,tank battery,MECHANICAL FAILURE,714,6426,630,6300,NO
2014-03-07,Anadarko (acq. by Occidental 2019),Thresher 54-1-19,Loving,production,pump,CORROSION,630,3570,630,3570,NO
2014-03-09,Anadarko (acq. by Occidental 2019),Bagwell C27-1,Loving,production,tank battery,MECHANICAL FAILURE,840,1092,0,0,NO
2014-03-11,Anadarko (acq. by Occidental 2019),Murjo 34-223 Unit 1,Ward,production,tank battery,MECHANICAL FAILURE,1092,4200,1008,4032,NO
2014-03-16,Anadarko (acq. by Occidental 2019),Bullhead 55-1-41,Loving,injection/disposal,tank battery,CORROSION,0,5880,0,5880,NO
2014-03-25,Anadarko (acq. by Occidental 2019),Cheyenne 57-3-47,Reeves,drilling,well,HUMAN ERROR,0,14700,0,0,NO
2014-03-25,Anadarko (acq. by Occidental 2019),MDJ 54-1-30,Loving,drilling,flowline,MECHANICAL FAILURE,210,126,210,126,NO
2014-03-31,Anadarko (acq. by Occidental 2019),APC Fee 1-40,Loving,production,tank battery,CORROSION,1806,8400,1680,7980,NO
2014-04-01,Anadarko (acq. by Occidental 2019),Monroe 34-210,Ward,injection/disposal,pump,MECHANICAL FAILURE,0,6090,0,4620,NO
2014-04-08,Anadarko (acq. by Occidental 2019),MDJ 54-1-30,Loving,production,pump,MECHANICAL FAILURE,630,2730,630,2730,NO
2014-04-20,Anadarko (acq. by Occidental 2019),Blacktip Johnson 1-39,Ward,production,tank battery,MECHANICAL FAILURE,2100,4620,2100,4620,NO
2014-04-25,Anadarko (acq. by Occidental 2019),University 18-40,Ward,production,tank battery,MECHANICAL FAILURE,294,126,294,126,NO
2014-04-30,Anadarko (acq. by Occidental 2019),Ludeman 22,Loving,production,tank battery,HUMAN ERROR,2352,4788,2352,4788,NO
2014-05-06,Anadarko (acq. by Occidental 2019),Wiggo 34-177,Ward,production,well,HUMAN ERROR,8820,3150,8400,2520,NO
2014-05-14,Anadarko (acq. by Occidental 2019),Chevron 34-179,Ward,production,well,CORROSION,1176,588,1050,588,NO
2014-05-15,Anadarko (acq. by Occidental 2019),Beinhorn CPF-C,Dimmit,,Heater Treater,Hole in Fire Tube,0,2520,0,840,NO
2014-06-02,Anadarko (acq. by Occidental 2019),"DRGAC, TILLIE UNIT",Burleson,Production,gathering line,unknown,,1806,,,no
2014-06-22,Anadarko (acq. by Occidental 2019),East Vermejo 33-66,Ward,production,flowline,CORROSION,420,4200,0,420,NO
2014-07-03,Anadarko (acq. by Occidental 2019),Calvin-Fachorn Unit Well 3,Burleson,Production,other,CORROSION,630,840,504,210,no
2014-08-21,Anadarko (acq. by Occidental 2019),Monroe 34-195,Ward,injection/disposal,flowline,MECHANICAL FAILURE,420,16800,0,0,NO
2014-08-21,Anadarko (acq. by Occidental 2019),Monroe 34-195 Unit,Ward,drilling,flowline,CORROSION,0,16800,0,7560,NO
2014-10-20,Anadarko (acq. by Occidental 2019),"Hill ""A""",Anderson,production,tank battery,,,2814,,,NO
2014-11-13,Anadarko (acq. by Occidental 2019),Davis 34-169 Unit 1,Ward,production,tank battery,HUMAN ERROR,840,630,168,0,NO
2014-11-15,Anadarko (acq. by Occidental 2019),Mako State 3-6,Reeves,production,tank battery,CORROSION,2100,672,2100,672,NO
2014-11-17,Anadarko (acq. by Occidental 2019),"Haley, J.E. 18",Loving,injection/disposal,tank battery,WEATHER,0,5922,0,5880,NO
2014-11-28,Anadarko (acq. by Occidental 2019),APC SWD,Loving,injection/disposal,well,MECHANICAL FAILURE,0,7980,0,6300,NO
2014-12-11,Anadarko (acq. by Occidental 2019),Black Stone Minerals A-618,Tyler,Production,other,other,,15162,,,no
2015-01-02,Anadarko (acq. by Occidental 2019),Monroe 34-220,Ward,injection/disposal,pump,CORROSION,0,5040,0,5040,NO
2015-01-03,Anadarko (acq. by Occidental 2019),Covington 34-224,Ward,production,tank battery,MECHANICAL FAILURE,252,168,168,84,NO
2015-01-07,Anadarko (acq. by Occidental 2019),Blacktip University 19-26,Ward,production,tank battery,MECHANICAL FAILURE,126,35910,0,35490,NO
2015-02-06,Anadarko (acq. by Occidental 2019),Sterling-Black Stone A-5,Tyler,Production,other,other,420,840,,,no
2015-03-10,Anadarko (acq. by Occidental 2019),Catarina West CPF-B,Dimmit,Production,Line from Heater Treater,Valve left open,420,42,0,0,
2015-03-16,Anadarko (acq. by Occidental 2019),Andrews Unit,Milam,Production,other,CORROSION,1680,1050,,,no
2015-03-30,Anadarko (acq. by Occidental 2019),Sevengills 55-1-25,Loving,production,flowline,CORROSION,2982,8400,2940,8400,NO
2015-04-03,Anadarko (acq. by Occidental 2019),Monroe 34-220,Ward,production,pump,MECHANICAL FAILURE,420,1260,420,1260,NO
2015-04-06,Anadarko (acq. by Occidental 2019),Briscoe Catarina Ranch 56H,Dimmit,Production,Flowline,Hole in line,0,42,0,0,NO
2015-04-09,Anadarko (acq. by Occidental 2019),"Johnson ""A""  /  #11 Tank Battery",Freestone,production,tank battery,WEATHER,,5964,,,NO
2015-04-13,Anadarko (acq. by Occidental 2019),Rocket Unit EB,Brazos,Production,other,WEATHER,,1974,,,no
2015-04-14,Anadarko (acq. by Occidental 2019),Stumberg CPF-E,Dimmit,Production,Tank Battery,Check Valves failed,1260,42,0,0,
2015-04-22,Anadarko (acq. by Occidental 2019),Monroe 34-178,Ward,production,tank battery,MECHANICAL FAILURE,672,168,588,84,NO
2015-05-11,Anadarko (acq. by Occidental 2019),"MOORE, J. H.",Freestone,production,tank battery,WEATHER,2520,5292,,,NO
2015-05-14,Anadarko (acq. by Occidental 2019),APC SWD,Loving,production,tank battery,WEATHER,23184,5082,23058,5082,NO
2015-05-20,Anadarko (acq. by Occidental 2019),Briscoe Chip East CGF-A,Dimmit,Production,Pipeline,leak,0,42,0,0,
2015-06-04,Anadarko (acq. by Occidental 2019),Caterina West CPF-D,Dimmit,Production,Production Line,Pinhole Leak,0,42,0,0,
2015-06-25,Anadarko (acq. by Occidental 2019),"Zgabay, Raymond W. Jr ""A""",Burleson,Production,other,CORROSION,,1890,,,no
2015-06-29,Anadarko (acq. by Occidental 2019),Maund Unit 23 CPF-A,Dimmit,Production,Heater Treater,Falty Fire Tube Gasket,0,42,0,0,
2015-07-26,Anadarko (acq. by Occidental 2019),Bill Watson 1,Reeves,production,tank battery,MECHANICAL FAILURE,336,336,315,315,NO
2015-08-08,Anadarko (acq. by Occidental 2019),Bill Watson 1,Reeves,production,tank battery,CORROSION,420,462,420,420,NO
2015-08-17,Anadarko (acq. by Occidental 2019),Monroe 34-210,Ward,production,well,MECHANICAL FAILURE,441,3150,420,2940,NO
2015-09-04,Anadarko (acq. by Occidental 2019),MDJ 55-1-24,Loving,production,flowline,CORROSION,336,1050,336,1050,NO
2015-09-14,Anadarko (acq. by Occidental 2019),Briscoe Friday Unit B 12H,Dimmit,Production,Flowline Manifold Header,CORROSION,0,42,0,0,
